Episode no = 6500; won: False; iter_time_steps = 107; Q(s,a) = 181.8822928665075; score = -246.0; mean_score/100_episodes = -150.66; reward = -210.0; mean_reward/100_episodes = -158.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-21 11:10:33
Episode no = 6600; won: False; iter_time_steps = 91; Q(s,a) = 182.71645389000895; score = 20.0; mean_score/100_episodes = -164.34; reward = 81.0; mean_reward/100_episodes = -164.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-21 11:12:05
Episode no = 6700; won: False; iter_time_steps = 94; Q(s,a) = 183.17213570901828; score = -163.0; mean_score/100_episodes = -129.44; reward = -120.0; mean_reward/100_episodes = -154.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-21 11:13:37
Episode no = 6800; won: False; iter_time_steps = 175; Q(s,a) = 185.2341204462988; score = -334.0; mean_score/100_episodes = -129.84; reward = -300.0; mean_reward/100_episodes = -139.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-21 11:15:22
Episode no = 6900; won: False; iter_time_steps = 331; Q(s,a) = 186.21417640592205; score = 0.0; mean_score/100_episodes = -172.0; reward = 83.0; mean_reward/100_episodes = -176.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-21 11:17:11
Episode no = 7000; won: False; iter_time_steps = 94; Q(s,a) = 186.02700361365638; score = 697.0; mean_score/100_episodes = -171.96; reward = 286.0; mean_reward/100_episodes = -175.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-21 11:18:56
Episode no = 7100; won: False; iter_time_steps = 19; Q(s,a) = 185.90383775720704; score = -358.0; mean_score/100_episodes = -175.18; reward = -342.0; mean_reward/100_episodes = -188.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-21 11:20:36
Episode no = 7200; won: False; iter_time_steps = 9; Q(s,a) = 186.58062634611892; score = -428.0; mean_score/100_episodes = -190.22; reward = -420.0; mean_reward/100_episodes = -184.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-21 11:22:09
Episode no = 7300; won: False; iter_time_steps = 134; Q(s,a) = 187.39563797894772; score = -433.0; mean_score/100_episodes = -145.59; reward = -413.0; mean_reward/100_episodes = -153.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-21 11:24:14
Episode no = 7400; won: False; iter_time_steps = 168; Q(s,a) = 187.90846924653013; score = -257.0; mean_score/100_episodes = -123.25; reward = -216.0; mean_reward/100_episodes = -143.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-21 11:26:00
