Episode no = 9200; won: False; iter_time_steps = 7; Q(s,a) = -0.19566412016359108; score = -506.0; mean_score/100_episodes = -511.31; reward = -506.0; mean_reward/100_episodes = -511.31; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:11
Episode no = 9300; won: False; iter_time_steps = 8; Q(s,a) = -0.19841053573143264; score = -507.0; mean_score/100_episodes = -510.02; reward = -507.0; mean_reward/100_episodes = -510.0; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:13
Episode no = 9400; won: False; iter_time_steps = 14; Q(s,a) = -0.20093621069411544; score = -513.0; mean_score/100_episodes = -509.95; reward = -513.0; mean_reward/100_episodes = -509.72; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:16
Episode no = 9500; won: False; iter_time_steps = 8; Q(s,a) = -0.2032071522733413; score = -507.0; mean_score/100_episodes = -509.28; reward = -507.0; mean_reward/100_episodes = -509.17; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:18
Episode no = 9600; won: False; iter_time_steps = 10; Q(s,a) = -0.2054205022842371; score = -509.0; mean_score/100_episodes = -508.65; reward = -509.0; mean_reward/100_episodes = -508.68; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:20
Episode no = 9700; won: False; iter_time_steps = 21; Q(s,a) = -0.20743885157852965; score = -520.0; mean_score/100_episodes = -509.98; reward = -520.0; mean_reward/100_episodes = -509.98; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:21
Episode no = 9800; won: False; iter_time_steps = 10; Q(s,a) = -0.21036098019881594; score = -509.0; mean_score/100_episodes = -509.74; reward = -509.0; mean_reward/100_episodes = -509.69; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:24
Episode no = 9900; won: False; iter_time_steps = 8; Q(s,a) = -0.21264137842442507; score = -507.0; mean_score/100_episodes = -509.27; reward = -507.0; mean_reward/100_episodes = -509.32; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:26
Episode no = 10000; won: False; iter_time_steps = 13; Q(s,a) = -0.2149923048366078; score = -512.0; mean_score/100_episodes = -509.38; reward = -512.0; mean_reward/100_episodes = -509.29; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:28
Episode no = 10100; won: False; iter_time_steps = 8; Q(s,a) = -0.2174240720896972; score = -507.0; mean_score/100_episodes = -508.89; reward = -507.0; mean_reward/100_episodes = -508.67; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:30
Episode no = 10200; won: False; iter_time_steps = 11; Q(s,a) = -0.21952323471009627; score = -510.0; mean_score/100_episodes = -510.38; reward = -510.0; mean_reward/100_episodes = -510.37; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:32
Episode no = 10300; won: False; iter_time_steps = 8; Q(s,a) = -0.22209063775995969; score = -507.0; mean_score/100_episodes = -509.66; reward = -507.0; mean_reward/100_episodes = -509.66; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:34
Episode no = 10400; won: False; iter_time_steps = 10; Q(s,a) = -0.22435007263192014; score = -509.0; mean_score/100_episodes = -508.67; reward = -509.0; mean_reward/100_episodes = -508.56; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:36
Episode no = 10500; won: False; iter_time_steps = 8; Q(s,a) = -0.22672778607881958; score = -507.0; mean_score/100_episodes = -509.07; reward = -507.0; mean_reward/100_episodes = -508.99; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:38
Episode no = 10600; won: False; iter_time_steps = 15; Q(s,a) = -0.22922140936193755; score = -504.0; mean_score/100_episodes = -508.97; reward = -492.0; mean_reward/100_episodes = -508.65; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:40
