Episode no = 5700; won: False; iter_time_steps = 10; Q(s,a) = -18.49690927470645; score = -509.0; mean_score/100_episodes = -500.2; reward = -509.0; mean_reward/100_episodes = -503.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.01, 2024-12-04 05:48:05
Episode no = 5800; won: False; iter_time_steps = 14; Q(s,a) = -15.15033527511903; score = -503.0; mean_score/100_episodes = -488.46; reward = -502.0; mean_reward/100_episodes = -495.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.02, 2024-12-04 05:48:16
Episode no = 5900; won: False; iter_time_steps = 18; Q(s,a) = -16.37395836506062; score = -517.0; mean_score/100_episodes = -489.89; reward = -517.0; mean_reward/100_episodes = -497.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.02, 2024-12-04 05:48:29
Episode no = 6000; won: False; iter_time_steps = 23; Q(s,a) = -14.210016594081456; score = -512.0; mean_score/100_episodes = -489.34; reward = -511.0; mean_reward/100_episodes = -496.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.02, 2024-12-04 05:48:42
Episode no = 6100; won: False; iter_time_steps = 15; Q(s,a) = -17.285553846311913; score = -514.0; mean_score/100_episodes = -509.31; reward = -514.0; mean_reward/100_episodes = -508.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-04 05:48:56
Episode no = 6200; won: False; iter_time_steps = 11; Q(s,a) = -18.58357379273136; score = -510.0; mean_score/100_episodes = -490.29; reward = -510.0; mean_reward/100_episodes = -498.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.02, 2024-12-04 05:49:10
Episode no = 6300; won: False; iter_time_steps = 14; Q(s,a) = -16.79778473523845; score = -503.0; mean_score/100_episodes = -489.28; reward = -491.0; mean_reward/100_episodes = -496.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.02, 2024-12-04 05:49:23
Episode no = 6400; won: False; iter_time_steps = 21; Q(s,a) = -9.085107646665282; score = -510.0; mean_score/100_episodes = -480.69; reward = -509.0; mean_reward/100_episodes = -492.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.03, 2024-12-04 05:49:37
Episode no = 6500; won: False; iter_time_steps = 18; Q(s,a) = -7.533490979440497; score = -507.0; mean_score/100_episodes = -500.22; reward = -506.0; mean_reward/100_episodes = -503.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.01, 2024-12-04 05:49:53
Episode no = 6600; won: False; iter_time_steps = 12; Q(s,a) = -18.269758761483; score = -511.0; mean_score/100_episodes = -489.96; reward = -511.0; mean_reward/100_episodes = -497.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.02, 2024-12-04 05:50:08
Episode no = 6700; won: False; iter_time_steps = 22; Q(s,a) = -7.439580297170064; score = -511.0; mean_score/100_episodes = -479.97; reward = -510.0; mean_reward/100_episodes = -491.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.03, 2024-12-04 05:50:24
Episode no = 6800; won: False; iter_time_steps = 15; Q(s,a) = -8.384436664749188; score = -504.0; mean_score/100_episodes = -480.31; reward = -503.0; mean_reward/100_episodes = -491.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.03, 2024-12-04 05:50:40
Episode no = 6900; won: False; iter_time_steps = 16; Q(s,a) = -17.479895889874573; score = -515.0; mean_score/100_episodes = -470.91; reward = -515.0; mean_reward/100_episodes = -486.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.04, 2024-12-04 05:50:55
Episode no = 7000; won: False; iter_time_steps = 16; Q(s,a) = -13.656444981933495; score = -515.0; mean_score/100_episodes = -439.99; reward = -515.0; mean_reward/100_episodes = -467.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.07, 2024-12-04 05:51:09
Episode no = 7100; won: False; iter_time_steps = 14; Q(s,a) = -14.464897643979452; score = -513.0; mean_score/100_episodes = -391.37; reward = -513.0; mean_reward/100_episodes = -439.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.12, 2024-12-04 05:51:26
Episode no = 7200; won: True; iter_time_steps = 26; Q(s,a) = -5.070218940352614; score = 495.0; mean_score/100_episodes = -340.32; reward = 86.0; mean_reward/100_episodes = -408.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.17, 2024-12-04 05:51:45
Episode no = 7300; won: False; iter_time_steps = 14; Q(s,a) = -14.868260890052888; score = -513.0; mean_score/100_episodes = -384.67; reward = -513.0; mean_reward/100_episodes = -436.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.13, 2024-12-04 05:52:05
Episode no = 7400; won: False; iter_time_steps = 15; Q(s,a) = -10.444253259827192; score = -504.0; mean_score/100_episodes = -351.06; reward = -503.0; mean_reward/100_episodes = -415.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.16, 2024-12-04 05:52:23
Episode no = 7500; won: False; iter_time_steps = 15; Q(s,a) = -10.979904748036375; score = -504.0; mean_score/100_episodes = -221.81; reward = -503.0; mean_reward/100_episodes = -339.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.29, 2024-12-04 05:52:42
Episode no = 7600; won: True; iter_time_steps = 25; Q(s,a) = -3.7077419474396414; score = 496.0; mean_score/100_episodes = -190.29; reward = 87.0; mean_reward/100_episodes = -319.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.32, 2024-12-04 05:53:00
Episode no = 7700; won: True; iter_time_steps = 20; Q(s,a) = -5.740810110750852; score = 501.0; mean_score/100_episodes = -223.18; reward = 92.0; mean_reward/100_episodes = -341.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.29, 2024-12-04 05:53:19
