Episode no = 8100; won: False; iter_time_steps = 12; Q(s,a) = 7.112846573350183; score = -511.0; mean_score/100_episodes = -125.99; reward = -511.0; mean_reward/100_episodes = -282.47; and epsilon = 0.1, win percentage = 0.38, 2024-11-25 06:07:16
Episode no = 8200; won: True; iter_time_steps = 26; Q(s,a) = 55.07959904931265; score = 495.0; mean_score/100_episodes = -145.88; reward = 86.0; mean_reward/100_episodes = -291.06; and epsilon = 0.1, win percentage = 0.36, 2024-11-25 06:07:51
Episode no = 8300; won: False; iter_time_steps = 12; Q(s,a) = 7.019845437315413; score = -501.0; mean_score/100_episodes = 36.52; reward = -511.0; mean_reward/100_episodes = -182.99; and epsilon = 0.1, win percentage = 0.54, 2024-11-25 06:08:26
Episode no = 8400; won: False; iter_time_steps = 12; Q(s,a) = 5.184765867008345; score = -501.0; mean_score/100_episodes = -85.76; reward = -511.0; mean_reward/100_episodes = -257.55; and epsilon = 0.1, win percentage = 0.42, 2024-11-25 06:09:02
Episode no = 8500; won: True; iter_time_steps = 16; Q(s,a) = 75.58855987442566; score = 505.0; mean_score/100_episodes = 87.41; reward = 96.0; mean_reward/100_episodes = -153.02; and epsilon = 0.1, win percentage = 0.59, 2024-11-25 06:09:38
Episode no = 8600; won: True; iter_time_steps = 22; Q(s,a) = 92.40100749146293; score = 499.0; mean_score/100_episodes = 35.91; reward = 90.0; mean_reward/100_episodes = -186.45; and epsilon = 0.1, win percentage = 0.54, 2024-11-25 06:10:14
Episode no = 8700; won: True; iter_time_steps = 26; Q(s,a) = 107.42021623756523; score = 495.0; mean_score/100_episodes = -15.02; reward = 86.0; mean_reward/100_episodes = -214.44; and epsilon = 0.1, win percentage = 0.49, 2024-11-25 06:10:51
Episode no = 8800; won: True; iter_time_steps = 19; Q(s,a) = 102.11010079509401; score = 502.0; mean_score/100_episodes = 56.58; reward = 93.0; mean_reward/100_episodes = -172.1; and epsilon = 0.1, win percentage = 0.56, 2024-11-25 06:11:25
Episode no = 8900; won: False; iter_time_steps = 11; Q(s,a) = 4.8551544338596475; score = -510.0; mean_score/100_episodes = -65.26; reward = -510.0; mean_reward/100_episodes = -245.47; and epsilon = 0.1, win percentage = 0.44, 2024-11-25 06:12:00
Episode no = 9000; won: False; iter_time_steps = 21; Q(s,a) = 14.928005864315896; score = -520.0; mean_score/100_episodes = 106.93; reward = -520.0; mean_reward/100_episodes = -142.7; and epsilon = 0.1, win percentage = 0.61, 2024-11-25 06:12:35
Episode no = 9100; won: True; iter_time_steps = 22; Q(s,a) = 106.53181785350502; score = 499.0; mean_score/100_episodes = 87.09; reward = 90.0; mean_reward/100_episodes = -153.36; and epsilon = 0.1, win percentage = 0.59, 2024-11-25 06:13:11
Episode no = 9200; won: True; iter_time_steps = 18; Q(s,a) = 117.09837831941424; score = 503.0; mean_score/100_episodes = 66.9; reward = 94.0; mean_reward/100_episodes = -165.35; and epsilon = 0.1, win percentage = 0.57, 2024-11-25 06:13:46
Episode no = 9300; won: True; iter_time_steps = 21; Q(s,a) = 162.51771846029396; score = 500.0; mean_score/100_episodes = 17.63; reward = 91.0; mean_reward/100_episodes = -193.57; and epsilon = 0.1, win percentage = 0.52, 2024-11-25 06:14:20
Episode no = 9400; won: True; iter_time_steps = 17; Q(s,a) = 130.9028340620029; score = 504.0; mean_score/100_episodes = 146.65; reward = 95.0; mean_reward/100_episodes = -118.4; and epsilon = 0.1, win percentage = 0.65, 2024-11-25 06:14:58
Episode no = 9500; won: True; iter_time_steps = 20; Q(s,a) = 180.4772960565572; score = 501.0; mean_score/100_episodes = 86.36; reward = 92.0; mean_reward/100_episodes = -154.07; and epsilon = 0.1, win percentage = 0.59, 2024-11-25 06:15:37
Episode no = 9600; won: True; iter_time_steps = 19; Q(s,a) = 130.21182795688614; score = 502.0; mean_score/100_episodes = 78.38; reward = 93.0; mean_reward/100_episodes = -157.07; and epsilon = 0.1, win percentage = 0.58, 2024-11-25 06:16:10
Episode no = 9700; won: False; iter_time_steps = 19; Q(s,a) = 98.97472420547481; score = -508.0; mean_score/100_episodes = -3.6; reward = -507.0; mean_reward/100_episodes = -206.54; and epsilon = 0.1, win percentage = 0.5, 2024-11-25 06:16:45
Episode no = 9800; won: True; iter_time_steps = 16; Q(s,a) = 166.11541791766675; score = 505.0; mean_score/100_episodes = 138.52; reward = 96.0; mean_reward/100_episodes = -121.72; and epsilon = 0.1, win percentage = 0.64, 2024-11-25 06:17:21
Episode no = 9900; won: False; iter_time_steps = 12; Q(s,a) = 45.30570573318149; score = -501.0; mean_score/100_episodes = 108.27; reward = -489.0; mean_reward/100_episodes = -139.35; and epsilon = 0.1, win percentage = 0.61, 2024-11-25 06:17:56
Episode no = 10000; won: True; iter_time_steps = 20; Q(s,a) = 266.6365813154559; score = 501.0; mean_score/100_episodes = 158.28; reward = 92.0; mean_reward/100_episodes = -110.17; and epsilon = 0.1, win percentage = 0.66, 2024-11-25 06:18:32
Episode no = 10100; won: False; iter_time_steps = 19; Q(s,a) = 177.3863026510681; score = -508.0; mean_score/100_episodes = 27.35; reward = -507.0; mean_reward/100_episodes = -186.99; and epsilon = 0.1, win percentage = 0.53, 2024-11-25 06:19:06
