Episode no = 5300; won: False; iter_time_steps = 23; Q(s,a) = -14.595880168308934; score = -392.0; mean_score/100_episodes = -408.35; reward = -379.0; mean_reward/100_episodes = -421.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-15 07:42:57
Episode no = 5400; won: False; iter_time_steps = 23; Q(s,a) = -14.635873922777973; score = -472.0; mean_score/100_episodes = -434.2; reward = -467.0; mean_reward/100_episodes = -438.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-15 07:44:08
Episode no = 5500; won: False; iter_time_steps = 254; Q(s,a) = -14.748489580949663; score = -583.0; mean_score/100_episodes = -496.43; reward = -566.0; mean_reward/100_episodes = -491.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-15 07:45:12
Episode no = 5600; won: False; iter_time_steps = 31; Q(s,a) = -14.834890974437911; score = -480.0; mean_score/100_episodes = -469.61; reward = -475.0; mean_reward/100_episodes = -461.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-15 07:46:18
Episode no = 5700; won: False; iter_time_steps = 94; Q(s,a) = -14.863040808234866; score = -543.0; mean_score/100_episodes = -440.47; reward = -538.0; mean_reward/100_episodes = -427.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-15 07:47:26
Episode no = 5800; won: False; iter_time_steps = 78; Q(s,a) = -14.925397194705347; score = -537.0; mean_score/100_episodes = -462.19; reward = -533.0; mean_reward/100_episodes = -454.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-15 07:48:30
Episode no = 5900; won: False; iter_time_steps = 96; Q(s,a) = -14.9659365236931; score = -395.0; mean_score/100_episodes = -470.02; reward = -375.0; mean_reward/100_episodes = -462.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-15 07:49:35
Episode no = 6000; won: False; iter_time_steps = 177; Q(s,a) = -14.99940102904787; score = -506.0; mean_score/100_episodes = -442.11; reward = -489.0; mean_reward/100_episodes = -430.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-15 07:50:29
Episode no = 6100; won: False; iter_time_steps = 23; Q(s,a) = -15.034823045890558; score = -392.0; mean_score/100_episodes = -463.14; reward = -390.0; mean_reward/100_episodes = -454.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-15 07:51:29
Episode no = 6200; won: False; iter_time_steps = 52; Q(s,a) = -15.086688376758783; score = -411.0; mean_score/100_episodes = -468.85; reward = -397.0; mean_reward/100_episodes = -463.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-15 07:52:35
Episode no = 6300; won: False; iter_time_steps = 30; Q(s,a) = -15.140307752330601; score = -429.0; mean_score/100_episodes = -484.24; reward = -408.0; mean_reward/100_episodes = -475.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-15 07:53:44
Episode no = 6400; won: False; iter_time_steps = 77; Q(s,a) = -15.181849551014306; score = -476.0; mean_score/100_episodes = -492.12; reward = -466.0; mean_reward/100_episodes = -484.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-15 07:54:53
Episode no = 6500; won: False; iter_time_steps = 29; Q(s,a) = -15.257183918205907; score = -478.0; mean_score/100_episodes = -483.15; reward = -473.0; mean_reward/100_episodes = -474.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-15 07:56:04
Episode no = 6600; won: False; iter_time_steps = 22; Q(s,a) = -15.314628034452918; score = -491.0; mean_score/100_episodes = -504.62; reward = -488.0; mean_reward/100_episodes = -499.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-15 07:57:15
Episode no = 6700; won: False; iter_time_steps = 19; Q(s,a) = -15.384848911754021; score = -478.0; mean_score/100_episodes = -530.3; reward = -474.0; mean_reward/100_episodes = -527.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-15 07:58:25
Episode no = 6800; won: False; iter_time_steps = 18; Q(s,a) = -15.473280375538323; score = -507.0; mean_score/100_episodes = -502.07; reward = -506.0; mean_reward/100_episodes = -500.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 07:59:42
Episode no = 6900; won: False; iter_time_steps = 256; Q(s,a) = -15.539030652774702; score = -595.0; mean_score/100_episodes = -503.0; reward = -579.0; mean_reward/100_episodes = -508.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:01:01
Episode no = 7000; won: False; iter_time_steps = 51; Q(s,a) = -15.677224021963388; score = -530.0; mean_score/100_episodes = -505.45; reward = -528.0; mean_reward/100_episodes = -510.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:02:11
Episode no = 7100; won: False; iter_time_steps = 142; Q(s,a) = -15.80236058633511; score = -571.0; mean_score/100_episodes = -491.6; reward = -564.0; mean_reward/100_episodes = -484.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:03:17
Episode no = 7200; won: False; iter_time_steps = 41; Q(s,a) = -15.91496208668545; score = -510.0; mean_score/100_episodes = -517.13; reward = -507.0; mean_reward/100_episodes = -511.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:04:24
Episode no = 7300; won: False; iter_time_steps = 78; Q(s,a) = -16.031990457571332; score = -557.0; mean_score/100_episodes = -531.52; reward = -555.0; mean_reward/100_episodes = -526.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:05:29
Episode no = 7400; won: False; iter_time_steps = 69; Q(s,a) = -16.11670529438748; score = -528.0; mean_score/100_episodes = -530.34; reward = -524.0; mean_reward/100_episodes = -526.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:06:26
Episode no = 7500; won: False; iter_time_steps = 35; Q(s,a) = -16.20140442540781; score = -414.0; mean_score/100_episodes = -495.81; reward = -391.0; mean_reward/100_episodes = -491.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:07:28
Episode no = 7600; won: False; iter_time_steps = 28; Q(s,a) = -16.230657475703214; score = -367.0; mean_score/100_episodes = -476.07; reward = -351.0; mean_reward/100_episodes = -467.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:08:27
Episode no = 7700; won: False; iter_time_steps = 54; Q(s,a) = -16.203046285025536; score = -373.0; mean_score/100_episodes = -426.59; reward = -355.0; mean_reward/100_episodes = -412.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:09:28
Episode no = 7800; won: False; iter_time_steps = 24; Q(s,a) = -16.257279225078033; score = -383.0; mean_score/100_episodes = -480.92; reward = -358.0; mean_reward/100_episodes = -472.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:10:29
Episode no = 7900; won: False; iter_time_steps = 160; Q(s,a) = -16.260787015035397; score = -469.0; mean_score/100_episodes = -451.72; reward = -450.0; mean_reward/100_episodes = -449.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:11:31
Episode no = 8000; won: False; iter_time_steps = 86; Q(s,a) = -16.272917316784923; score = -425.0; mean_score/100_episodes = -473.11; reward = -409.0; mean_reward/100_episodes = -478.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:12:46
Episode no = 8100; won: False; iter_time_steps = 18; Q(s,a) = -16.264156831767725; score = -497.0; mean_score/100_episodes = -516.47; reward = -495.0; mean_reward/100_episodes = -516.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-15 08:13:55
