Episode no = 7100; won: False; iter_time_steps = 14; Q(s,a) = -2.2320158470890563; score = -423.0; mean_score/100_episodes = -171.57; reward = -403.0; mean_reward/100_episodes = -183.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:58
Episode no = 7200; won: False; iter_time_steps = 54; Q(s,a) = 2.2364968840106205; score = -83.0; mean_score/100_episodes = -178.89; reward = -25.0; mean_reward/100_episodes = -185.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:10
Episode no = 7300; won: False; iter_time_steps = 105; Q(s,a) = -1.72361894582404; score = -284.0; mean_score/100_episodes = -110.58; reward = -252.0; mean_reward/100_episodes = -149.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:08:28
Episode no = 7400; won: False; iter_time_steps = 40; Q(s,a) = -0.8493533084202465; score = -209.0; mean_score/100_episodes = -77.92; reward = -176.0; mean_reward/100_episodes = -121.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:09:50
Episode no = 7500; won: False; iter_time_steps = 203; Q(s,a) = 3.968855089002414; score = 58.0; mean_score/100_episodes = -145.13; reward = -35.0; mean_reward/100_episodes = -166.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:11:08
Episode no = 7600; won: False; iter_time_steps = 21; Q(s,a) = -3.0275885421712667; score = -330.0; mean_score/100_episodes = -146.04; reward = -300.0; mean_reward/100_episodes = -178.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:12:17
Episode no = 7700; won: False; iter_time_steps = 24; Q(s,a) = -3.0570750342946065; score = -353.0; mean_score/100_episodes = -127.6; reward = -336.0; mean_reward/100_episodes = -151.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:13:42
Episode no = 7800; won: False; iter_time_steps = 152; Q(s,a) = 2.8638059853219113; score = -191.0; mean_score/100_episodes = -194.28; reward = -145.0; mean_reward/100_episodes = -198.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:14:46
Episode no = 7900; won: False; iter_time_steps = 105; Q(s,a) = -3.102458640260205; score = -314.0; mean_score/100_episodes = -175.17; reward = -285.0; mean_reward/100_episodes = -186.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:16:18
Episode no = 8000; won: False; iter_time_steps = 16; Q(s,a) = -4.419347713890851; score = -375.0; mean_score/100_episodes = -150.68; reward = -361.0; mean_reward/100_episodes = -177.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:17:37
Episode no = 8100; won: False; iter_time_steps = 245; Q(s,a) = -0.40667494638604973; score = -194.0; mean_score/100_episodes = -168.28; reward = -308.0; mean_reward/100_episodes = -180.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:18:46
Episode no = 8200; won: False; iter_time_steps = 22; Q(s,a) = -3.9253627532885123; score = -331.0; mean_score/100_episodes = -150.35; reward = -312.0; mean_reward/100_episodes = -151.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:19:57
Episode no = 8300; won: False; iter_time_steps = 249; Q(s,a) = -4.651855252832027; score = -398.0; mean_score/100_episodes = -134.32; reward = -363.0; mean_reward/100_episodes = -149.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:21:02
Episode no = 8400; won: False; iter_time_steps = 55; Q(s,a) = -5.58092969055139; score = -194.0; mean_score/100_episodes = -114.06; reward = -158.0; mean_reward/100_episodes = -144.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:22:22
