Episode no = 5700; won: False; iter_time_steps = 44; Q(s,a) = 159.9140372363284; score = -193.0; mean_score/100_episodes = -151.72; reward = -158.0; mean_reward/100_episodes = -131.83; snn_single_energy = 0; snn_total_energy = 85.73332824080295; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-02 04:44:30
Episode no = 5800; won: False; iter_time_steps = 28; Q(s,a) = 160.19217189981234; score = -307.0; mean_score/100_episodes = -194.66; reward = -274.0; mean_reward/100_episodes = -160.39; snn_single_energy = 0; snn_total_energy = 88.99595298122465; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-02 04:45:14
Episode no = 5900; won: False; iter_time_steps = 62; Q(s,a) = 161.20291948174165; score = -61.0; mean_score/100_episodes = -138.67; reward = -11.0; mean_reward/100_episodes = -110.79; snn_single_energy = 0; snn_total_energy = 92.82835284223295; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-02 04:46:05
Episode no = 6000; won: False; iter_time_steps = 54; Q(s,a) = 161.65407664097418; score = -103.0; mean_score/100_episodes = -169.68; reward = -58.0; mean_reward/100_episodes = -141.09; snn_single_energy = 0; snn_total_energy = 96.42418126795107; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-02 04:46:52
Episode no = 6100; won: False; iter_time_steps = 29; Q(s,a) = 162.5914913284347; score = -268.0; mean_score/100_episodes = -172.69; reward = -242.0; mean_reward/100_episodes = -145.84; snn_single_energy = 0; snn_total_energy = 99.84526741781194; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-02 04:47:35
Episode no = 6200; won: False; iter_time_steps = 79; Q(s,a) = 163.91628203391215; score = 2.0; mean_score/100_episodes = -112.96; reward = 71.0; mean_reward/100_episodes = -80.4; snn_single_energy = 0; snn_total_energy = 103.96429516861794; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-02 04:48:28
Episode no = 6300; won: False; iter_time_steps = 57; Q(s,a) = 165.08625096116063; score = -146.0; mean_score/100_episodes = -121.75; reward = -105.0; mean_reward/100_episodes = -87.81; snn_single_energy = 0; snn_total_energy = 107.87474122860786; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-02 04:49:16
Episode no = 6400; won: False; iter_time_steps = 91; Q(s,a) = 165.94075055641656; score = 40.0; mean_score/100_episodes = -73.18; reward = 114.0; mean_reward/100_episodes = -54.49; snn_single_energy = 0; snn_total_energy = 112.45732219888265; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-02 04:50:14
Episode no = 6500; won: False; iter_time_steps = 29; Q(s,a) = 169.2011004518536; score = -298.0; mean_score/100_episodes = -67.41; reward = -264.0; mean_reward/100_episodes = -56.72; snn_single_energy = 0; snn_total_energy = 116.80739395210239; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-02 04:51:05
Episode no = 6600; won: False; iter_time_steps = 29; Q(s,a) = 171.01459650760825; score = -288.0; mean_score/100_episodes = -61.06; reward = -253.0; mean_reward/100_episodes = -43.01; snn_single_energy = 0; snn_total_energy = 121.3930691219622; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-02 04:52:03
Episode no = 6700; won: False; iter_time_steps = 195; Q(s,a) = 172.01283833237434; score = 146.0; mean_score/100_episodes = 77.94; reward = 230.0; mean_reward/100_episodes = 48.94; snn_single_energy = 0; snn_total_energy = 127.30260761613803; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-02 04:53:13
Episode no = 6800; won: False; iter_time_steps = 163; Q(s,a) = 173.12740455695166; score = 178.0; mean_score/100_episodes = 37.11; reward = 262.0; mean_reward/100_episodes = 26.6; snn_single_energy = 0; snn_total_energy = 132.8787054241062; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 04:54:18
Episode no = 6900; won: False; iter_time_steps = 62; Q(s,a) = 173.01377073111604; score = 99.0; mean_score/100_episodes = 76.06; reward = -15.0; mean_reward/100_episodes = 53.78; snn_single_energy = 0; snn_total_energy = 138.72751333934127; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 04:55:24
Episode no = 7000; won: False; iter_time_steps = 205; Q(s,a) = 174.07035081425363; score = 186.0; mean_score/100_episodes = 49.82; reward = 275.0; mean_reward/100_episodes = 46.67; snn_single_energy = 0; snn_total_energy = 144.50879899656508; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 04:56:29
