Episode no = 5900; won: False; iter_time_steps = 59; Q(s,a) = 147.06358559034732; score = -8.0; mean_score/100_episodes = 99.8; reward = 47.0; mean_reward/100_episodes = 71.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:46:02
Episode no = 6000; won: False; iter_time_steps = 200; Q(s,a) = 147.38589078290218; score = 481.0; mean_score/100_episodes = 87.92; reward = 261.0; mean_reward/100_episodes = 72.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:47:17
Episode no = 6100; won: False; iter_time_steps = 105; Q(s,a) = 148.26577393673597; score = 166.0; mean_score/100_episodes = 126.89; reward = 254.0; mean_reward/100_episodes = 133.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-07 10:49:01
Episode no = 6200; won: False; iter_time_steps = 57; Q(s,a) = 150.12535005159646; score = -126.0; mean_score/100_episodes = 83.94; reward = -83.0; mean_reward/100_episodes = 66.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:50:23
Episode no = 6300; won: False; iter_time_steps = 290; Q(s,a) = 151.2282310669593; score = 341.0; mean_score/100_episodes = 109.39; reward = 105.0; mean_reward/100_episodes = 92.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:51:57
Episode no = 6400; won: False; iter_time_steps = 244; Q(s,a) = 150.69776393383094; score = 227.0; mean_score/100_episodes = 127.78; reward = 144.0; mean_reward/100_episodes = 87.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:53:35
Episode no = 6500; won: False; iter_time_steps = 19; Q(s,a) = 153.1512509226197; score = -368.0; mean_score/100_episodes = 80.35; reward = -342.0; mean_reward/100_episodes = 73.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:55:00
Episode no = 6600; won: False; iter_time_steps = 130; Q(s,a) = 152.92419641691265; score = 601.0; mean_score/100_episodes = 77.62; reward = 386.0; mean_reward/100_episodes = 59.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:56:33
Episode no = 6700; won: False; iter_time_steps = 295; Q(s,a) = 153.82706673589956; score = 266.0; mean_score/100_episodes = 97.97; reward = 203.0; mean_reward/100_episodes = 87.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:58:06
Episode no = 6800; won: False; iter_time_steps = 60; Q(s,a) = 153.2817469767373; score = 1.0; mean_score/100_episodes = 108.46; reward = 57.0; mean_reward/100_episodes = 101.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:59:36
Episode no = 6900; won: False; iter_time_steps = 54; Q(s,a) = 154.03471458437716; score = -113.0; mean_score/100_episodes = 124.31; reward = -58.0; mean_reward/100_episodes = 110.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 11:01:04
Episode no = 7000; won: False; iter_time_steps = 334; Q(s,a) = 153.5552057000593; score = 257.0; mean_score/100_episodes = 126.19; reward = 197.0; mean_reward/100_episodes = 102.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 11:02:37
Episode no = 7100; won: False; iter_time_steps = 239; Q(s,a) = 156.49750650710797; score = 322.0; mean_score/100_episodes = 125.33; reward = 259.0; mean_reward/100_episodes = 108.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 11:04:05
Episode no = 7200; won: False; iter_time_steps = 119; Q(s,a) = 157.23824321067852; score = 132.0; mean_score/100_episodes = 112.5; reward = 207.0; mean_reward/100_episodes = 107.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-07 11:05:39
Episode no = 7300; won: False; iter_time_steps = 109; Q(s,a) = 158.08076379693034; score = 42.0; mean_score/100_episodes = 133.03; reward = 107.0; mean_reward/100_episodes = 110.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-07 11:07:17
Episode no = 7400; won: False; iter_time_steps = 34; Q(s,a) = 158.12279960666893; score = -233.0; mean_score/100_episodes = 162.68; reward = -192.0; mean_reward/100_episodes = 122.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 11:09:08
Episode no = 7500; won: False; iter_time_steps = 79; Q(s,a) = 158.4705573064996; score = 52.0; mean_score/100_episodes = 135.36; reward = 115.0; mean_reward/100_episodes = 105.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 11:10:50
