Episode no = 7000; won: False; iter_time_steps = 162; Q(s,a) = 143.09062729458637; score = 199.0; mean_score/100_episodes = 213.61; reward = 285.0; mean_reward/100_episodes = 159.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-09 14:35:01
Episode no = 7100; won: False; iter_time_steps = 57; Q(s,a) = 157.2437420266886; score = 324.0; mean_score/100_episodes = 223.62; reward = 63.0; mean_reward/100_episodes = 152.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-09 14:36:57
Episode no = 7200; won: False; iter_time_steps = 100; Q(s,a) = 153.49035135831386; score = 181.0; mean_score/100_episodes = 166.13; reward = 259.0; mean_reward/100_episodes = 115.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-09 14:38:41
Episode no = 7300; won: False; iter_time_steps = 11; Q(s,a) = 148.0994845688748; score = -440.0; mean_score/100_episodes = 201.77; reward = -433.0; mean_reward/100_episodes = 164.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.03, 2024-12-09 14:40:36
Episode no = 7400; won: False; iter_time_steps = 127; Q(s,a) = 157.2701698151043; score = 434.0; mean_score/100_episodes = 134.09; reward = 360.0; mean_reward/100_episodes = 95.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-09 14:42:12
Episode no = 7500; won: False; iter_time_steps = 39; Q(s,a) = 152.60487987863635; score = -18.0; mean_score/100_episodes = 269.6; reward = -146.0; mean_reward/100_episodes = 164.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-09 14:43:57
Episode no = 7600; won: False; iter_time_steps = 259; Q(s,a) = 155.707165736815; score = 172.0; mean_score/100_episodes = 157.58; reward = 265.0; mean_reward/100_episodes = 102.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-09 14:45:29
Episode no = 7700; won: False; iter_time_steps = 187; Q(s,a) = 157.74206551462547; score = 204.0; mean_score/100_episodes = 237.88; reward = 293.0; mean_reward/100_episodes = 158.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-09 14:47:11
Episode no = 7800; won: False; iter_time_steps = 175; Q(s,a) = 161.36857377930528; score = 486.0; mean_score/100_episodes = 182.45; reward = 253.0; mean_reward/100_episodes = 122.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-09 14:48:50
Episode no = 7900; won: False; iter_time_steps = 82; Q(s,a) = 161.99780917067383; score = 309.0; mean_score/100_episodes = 164.68; reward = 218.0; mean_reward/100_episodes = 109.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-09 14:50:27
Episode no = 8000; won: False; iter_time_steps = 186; Q(s,a) = 164.53291357475564; score = 395.0; mean_score/100_episodes = 252.63; reward = 323.0; mean_reward/100_episodes = 155.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-09 14:52:25
Episode no = 8100; won: False; iter_time_steps = 176; Q(s,a) = 165.1212758498032; score = 655.0; mean_score/100_episodes = 281.53; reward = 428.0; mean_reward/100_episodes = 194.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-09 14:54:19
