Episode no = 5700; won: False; iter_time_steps = 34; Q(s,a) = 60.7432728816287; score = -353.0; mean_score/100_episodes = -279.71; reward = -335.0; mean_reward/100_episodes = -252.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-14 12:26:09
Episode no = 5800; won: False; iter_time_steps = 71; Q(s,a) = 67.30766202132797; score = -180.0; mean_score/100_episodes = -255.99; reward = -141.0; mean_reward/100_episodes = -230.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-14 12:27:13
Episode no = 5900; won: False; iter_time_steps = 115; Q(s,a) = 72.98430631235571; score = -154.0; mean_score/100_episodes = -289.36; reward = -108.0; mean_reward/100_episodes = -265.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-14 12:28:11
Episode no = 6000; won: False; iter_time_steps = 26; Q(s,a) = 77.75398093821416; score = -325.0; mean_score/100_episodes = -268.5; reward = -305.0; mean_reward/100_episodes = -240.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-14 12:29:16
Episode no = 6100; won: False; iter_time_steps = 23; Q(s,a) = 81.51352693149596; score = -332.0; mean_score/100_episodes = -241.9; reward = -313.0; mean_reward/100_episodes = -211.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-14 12:30:16
Episode no = 6200; won: False; iter_time_steps = 13; Q(s,a) = 88.07293804179488; score = -452.0; mean_score/100_episodes = -229.1; reward = -457.0; mean_reward/100_episodes = -201.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-14 12:31:25
Episode no = 6300; won: False; iter_time_steps = 37; Q(s,a) = 92.92368226757596; score = -206.0; mean_score/100_episodes = -248.36; reward = -173.0; mean_reward/100_episodes = -218.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-14 12:32:38
Episode no = 6400; won: False; iter_time_steps = 128; Q(s,a) = 93.95266844130273; score = 63.0; mean_score/100_episodes = -174.21; reward = 132.0; mean_reward/100_episodes = -142.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-14 12:33:56
Episode no = 6500; won: False; iter_time_steps = 51; Q(s,a) = 98.76949613999858; score = -160.0; mean_score/100_episodes = -147.71; reward = -110.0; mean_reward/100_episodes = -118.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-14 12:35:30
Episode no = 6600; won: False; iter_time_steps = 48; Q(s,a) = 104.21308904177513; score = -147.0; mean_score/100_episodes = -160.23; reward = -107.0; mean_reward/100_episodes = -128.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-14 12:36:51
Episode no = 6700; won: False; iter_time_steps = 40; Q(s,a) = 104.64777626485449; score = -229.0; mean_score/100_episodes = -66.43; reward = -198.0; mean_reward/100_episodes = -48.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-14 12:38:35
Episode no = 6800; won: False; iter_time_steps = 180; Q(s,a) = 109.70223647446774; score = 171.0; mean_score/100_episodes = -93.38; reward = 256.0; mean_reward/100_episodes = -75.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-14 12:40:00
Episode no = 6900; won: False; iter_time_steps = 30; Q(s,a) = 111.65029488576538; score = -249.0; mean_score/100_episodes = -51.31; reward = -221.0; mean_reward/100_episodes = -40.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-14 12:41:43
Episode no = 7000; won: False; iter_time_steps = 193; Q(s,a) = 115.2658584308489; score = 378.0; mean_score/100_episodes = -53.81; reward = 316.0; mean_reward/100_episodes = -35.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-14 12:43:38
Episode no = 7100; won: False; iter_time_steps = 145; Q(s,a) = 119.59049893069724; score = 616.0; mean_score/100_episodes = -23.63; reward = 393.0; mean_reward/100_episodes = -4.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-14 12:45:34
