Episode no = 9200; won: True; iter_time_steps = 217; Q(s,a) = 237.17173940174573; score = 1454.0; mean_score/100_episodes = 943.96; reward = 980.0; mean_reward/100_episodes = 561.09; and epsilon = 0.1, win percentage = 0.35, 2024-11-24 22:17:50
Episode no = 9300; won: True; iter_time_steps = 180; Q(s,a) = 200.45143386901418; score = 1291.0; mean_score/100_episodes = 973.99; reward = 988.0; mean_reward/100_episodes = 593.68; and epsilon = 0.1, win percentage = 0.42, 2024-11-24 22:22:52
Episode no = 9400; won: False; iter_time_steps = 164; Q(s,a) = 204.87729169138748; score = 277.0; mean_score/100_episodes = 911.72; reward = 371.0; mean_reward/100_episodes = 537.92; and epsilon = 0.1, win percentage = 0.37, 2024-11-24 22:27:43
Episode no = 9500; won: True; iter_time_steps = 186; Q(s,a) = 212.79445429742216; score = 1885.0; mean_score/100_episodes = 1027.99; reward = 1124.0; mean_reward/100_episodes = 617.52; and epsilon = 0.1, win percentage = 0.48, 2024-11-24 22:32:44
Episode no = 9600; won: True; iter_time_steps = 166; Q(s,a) = 233.79331470445612; score = 1905.0; mean_score/100_episodes = 936.07; reward = 1111.0; mean_reward/100_episodes = 550.58; and epsilon = 0.1, win percentage = 0.43, 2024-11-24 22:37:26
Episode no = 9700; won: True; iter_time_steps = 283; Q(s,a) = 222.07150262010035; score = 1588.0; mean_score/100_episodes = 1046.26; reward = 965.0; mean_reward/100_episodes = 622.31; and epsilon = 0.1, win percentage = 0.41, 2024-11-24 22:42:44
Episode no = 9800; won: True; iter_time_steps = 152; Q(s,a) = 235.81993705735155; score = 1919.0; mean_score/100_episodes = 1109.31; reward = 1125.0; mean_reward/100_episodes = 669.75; and epsilon = 0.1, win percentage = 0.48, 2024-11-24 22:48:48
Episode no = 9900; won: False; iter_time_steps = 205; Q(s,a) = 247.29594659616635; score = 656.0; mean_score/100_episodes = 937.79; reward = 443.0; mean_reward/100_episodes = 545.51; and epsilon = 0.1, win percentage = 0.33, 2024-11-24 22:54:03
Episode no = 10000; won: False; iter_time_steps = 95; Q(s,a) = 227.9175033353732; score = 366.0; mean_score/100_episodes = 1232.17; reward = 293.0; mean_reward/100_episodes = 724.01; and epsilon = 0.1, win percentage = 0.55, 2024-11-24 22:59:11
Episode no = 10100; won: True; iter_time_steps = 170; Q(s,a) = 198.26317974664192; score = 1901.0; mean_score/100_episodes = 1079.89; reward = 1140.0; mean_reward/100_episodes = 639.92; and epsilon = 0.1, win percentage = 0.49, 2024-11-24 23:04:03
Episode no = 10200; won: True; iter_time_steps = 216; Q(s,a) = 229.58896329447546; score = 1655.0; mean_score/100_episodes = 1034.06; reward = 1032.0; mean_reward/100_episodes = 594.18; and epsilon = 0.1, win percentage = 0.42, 2024-11-24 23:08:57
Episode no = 10300; won: True; iter_time_steps = 171; Q(s,a) = 227.47995552009357; score = 1700.0; mean_score/100_episodes = 904.41; reward = 1077.0; mean_reward/100_episodes = 545.98; and epsilon = 0.1, win percentage = 0.34, 2024-11-24 23:13:34
Episode no = 10400; won: False; iter_time_steps = 70; Q(s,a) = 224.48420519101845; score = 661.0; mean_score/100_episodes = 975.72; reward = 255.0; mean_reward/100_episodes = 565.5; and epsilon = 0.1, win percentage = 0.38, 2024-11-24 23:18:28
Episode no = 10500; won: False; iter_time_steps = 125; Q(s,a) = 234.09269957778488; score = 406.0; mean_score/100_episodes = 1039.71; reward = 329.0; mean_reward/100_episodes = 624.59; and epsilon = 0.1, win percentage = 0.41, 2024-11-24 23:23:16
Episode no = 10600; won: False; iter_time_steps = 79; Q(s,a) = 229.81716405823954; score = 642.0; mean_score/100_episodes = 1035.93; reward = 224.0; mean_reward/100_episodes = 612.12; and epsilon = 0.1, win percentage = 0.45, 2024-11-24 23:28:13
Episode no = 10700; won: True; iter_time_steps = 169; Q(s,a) = 232.18479825383474; score = 1702.0; mean_score/100_episodes = 1169.35; reward = 1090.0; mean_reward/100_episodes = 697.39; and epsilon = 0.1, win percentage = 0.53, 2024-11-24 23:33:26
Episode no = 10800; won: True; iter_time_steps = 155; Q(s,a) = 234.23769329592915; score = 1916.0; mean_score/100_episodes = 1076.92; reward = 1133.0; mean_reward/100_episodes = 626.83; and epsilon = 0.1, win percentage = 0.44, 2024-11-24 23:38:13
Episode no = 10900; won: False; iter_time_steps = 103; Q(s,a) = 229.36900456614373; score = 588.0; mean_score/100_episodes = 1012.69; reward = 358.0; mean_reward/100_episodes = 597.85; and epsilon = 0.1, win percentage = 0.41, 2024-11-24 23:43:08
Episode no = 11000; won: True; iter_time_steps = 161; Q(s,a) = 233.28032441742866; score = 1710.0; mean_score/100_episodes = 1133.43; reward = 1087.0; mean_reward/100_episodes = 661.92; and epsilon = 0.1, win percentage = 0.5, 2024-11-24 23:48:10
