Episode no = 5200; won: False; iter_time_steps = 203; Q(s,a) = -14.945153978336482; score = -542.0; mean_score/100_episodes = -481.29; reward = -526.0; mean_reward/100_episodes = -473.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-13 07:27:44
Episode no = 5300; won: False; iter_time_steps = 56; Q(s,a) = -15.02697338251323; score = -515.0; mean_score/100_episodes = -481.25; reward = -500.0; mean_reward/100_episodes = -473.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-13 07:28:51
Episode no = 5400; won: False; iter_time_steps = 93; Q(s,a) = -15.14439240493228; score = -442.0; mean_score/100_episodes = -482.23; reward = -427.0; mean_reward/100_episodes = -474.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-13 07:29:54
Episode no = 5500; won: False; iter_time_steps = 52; Q(s,a) = -15.257763301028385; score = -451.0; mean_score/100_episodes = -486.94; reward = -441.0; mean_reward/100_episodes = -482.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-13 07:31:03
Episode no = 5600; won: False; iter_time_steps = 24; Q(s,a) = -15.363709542453169; score = -503.0; mean_score/100_episodes = -491.07; reward = -501.0; mean_reward/100_episodes = -483.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-13 07:32:13
Episode no = 5700; won: False; iter_time_steps = 61; Q(s,a) = -15.482788128125843; score = -430.0; mean_score/100_episodes = -493.27; reward = -428.0; mean_reward/100_episodes = -485.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-13 07:33:19
Episode no = 5800; won: False; iter_time_steps = 88; Q(s,a) = -15.548041043343876; score = -447.0; mean_score/100_episodes = -493.14; reward = -433.0; mean_reward/100_episodes = -485.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-13 07:34:28
Episode no = 5900; won: False; iter_time_steps = 32; Q(s,a) = -15.613682932959826; score = -451.0; mean_score/100_episodes = -494.34; reward = -443.0; mean_reward/100_episodes = -487.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-13 07:35:31
Episode no = 6000; won: False; iter_time_steps = 58; Q(s,a) = -15.724349539640745; score = -457.0; mean_score/100_episodes = -495.3; reward = -447.0; mean_reward/100_episodes = -490.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-13 07:36:50
Episode no = 6100; won: False; iter_time_steps = 89; Q(s,a) = -15.81867422355177; score = -458.0; mean_score/100_episodes = -505.88; reward = -445.0; mean_reward/100_episodes = -500.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-13 07:38:04
