Episode no = 7200; won: False; iter_time_steps = 19; Q(s,a) = 5.643063975608006; score = -508.0; mean_score/100_episodes = -509.59; reward = -507.0; mean_reward/100_episodes = -508.98; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:11:00
Episode no = 7300; won: False; iter_time_steps = 19; Q(s,a) = 1.792621345513219; score = -508.0; mean_score/100_episodes = -510.71; reward = -507.0; mean_reward/100_episodes = -509.53; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:11:30
Episode no = 7400; won: False; iter_time_steps = 6; Q(s,a) = 0.7088777369716017; score = -505.0; mean_score/100_episodes = -510.39; reward = -505.0; mean_reward/100_episodes = -509.92; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:11:58
Episode no = 7500; won: False; iter_time_steps = 23; Q(s,a) = 6.20770314538176; score = -522.0; mean_score/100_episodes = -498.19; reward = -522.0; mean_reward/100_episodes = -501.31; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:12:23
Episode no = 7600; won: False; iter_time_steps = 12; Q(s,a) = -0.12428754854373403; score = -511.0; mean_score/100_episodes = -509.7; reward = -511.0; mean_reward/100_episodes = -509.32; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:12:46
Episode no = 7700; won: False; iter_time_steps = 11; Q(s,a) = -2.1237176434498393; score = -510.0; mean_score/100_episodes = -513.11; reward = -510.0; mean_reward/100_episodes = -511.89; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:13:20
Episode no = 7800; won: False; iter_time_steps = 13; Q(s,a) = -0.21872109132049; score = -512.0; mean_score/100_episodes = -512.04; reward = -512.0; mean_reward/100_episodes = -511.39; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:13:51
Episode no = 7900; won: False; iter_time_steps = 46; Q(s,a) = 3.7165379932399554; score = -545.0; mean_score/100_episodes = -501.85; reward = -545.0; mean_reward/100_episodes = -505.22; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:14:21
Episode no = 8000; won: False; iter_time_steps = 19; Q(s,a) = -1.5430821495058242; score = -508.0; mean_score/100_episodes = -504.63; reward = -496.0; mean_reward/100_episodes = -507.49; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:14:58
Episode no = 8100; won: False; iter_time_steps = 66; Q(s,a) = 15.784451092290206; score = -555.0; mean_score/100_episodes = -504.98; reward = -554.0; mean_reward/100_episodes = -508.52; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:15:33
Episode no = 8200; won: False; iter_time_steps = 9; Q(s,a) = -1.7168517212177954; score = -508.0; mean_score/100_episodes = -513.26; reward = -508.0; mean_reward/100_episodes = -512.35; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:16:04
Episode no = 8300; won: False; iter_time_steps = 14; Q(s,a) = -3.549333251820383; score = -513.0; mean_score/100_episodes = -514.83; reward = -513.0; mean_reward/100_episodes = -514.2; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:16:38
Episode no = 8400; won: False; iter_time_steps = 14; Q(s,a) = -29.686885230150757; score = -513.0; mean_score/100_episodes = -514.67; reward = -513.0; mean_reward/100_episodes = -513.67; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:17:11
Episode no = 8500; won: False; iter_time_steps = 35; Q(s,a) = -0.24263609412977227; score = -524.0; mean_score/100_episodes = -493.29; reward = -523.0; mean_reward/100_episodes = -500.31; and epsilon = 0.1, win percentage = 0.02, 2024-11-20 08:17:45
Episode no = 8600; won: False; iter_time_steps = 19; Q(s,a) = -0.9501963987814275; score = -518.0; mean_score/100_episodes = -503.38; reward = -518.0; mean_reward/100_episodes = -506.68; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:18:17
Episode no = 8700; won: False; iter_time_steps = 7; Q(s,a) = -19.13569182989943; score = -506.0; mean_score/100_episodes = -494.66; reward = -506.0; mean_reward/100_episodes = -501.76; and epsilon = 0.1, win percentage = 0.02, 2024-11-20 08:18:54
Episode no = 8800; won: False; iter_time_steps = 15; Q(s,a) = -12.905185179742293; score = -514.0; mean_score/100_episodes = -503.82; reward = -514.0; mean_reward/100_episodes = -507.24; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:19:27
Episode no = 8900; won: False; iter_time_steps = 9; Q(s,a) = -13.079146393378029; score = -508.0; mean_score/100_episodes = -516.48; reward = -508.0; mean_reward/100_episodes = -515.74; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:20:06
Episode no = 9000; won: False; iter_time_steps = 11; Q(s,a) = -13.433123843977624; score = -510.0; mean_score/100_episodes = -513.43; reward = -510.0; mean_reward/100_episodes = -511.94; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:20:41
Episode no = 9100; won: False; iter_time_steps = 11; Q(s,a) = -9.70371360378075; score = -510.0; mean_score/100_episodes = -515.09; reward = -510.0; mean_reward/100_episodes = -514.68; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:21:17
Episode no = 9200; won: False; iter_time_steps = 35; Q(s,a) = 2.1817698473038085; score = -534.0; mean_score/100_episodes = -494.51; reward = -534.0; mean_reward/100_episodes = -501.83; and epsilon = 0.1, win percentage = 0.02, 2024-11-20 08:21:56
Episode no = 9300; won: False; iter_time_steps = 11; Q(s,a) = -17.143756485224483; score = -510.0; mean_score/100_episodes = -503.81; reward = -510.0; mean_reward/100_episodes = -507.04; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:22:32
Episode no = 9400; won: False; iter_time_steps = 11; Q(s,a) = -58.6071810385308; score = -510.0; mean_score/100_episodes = -514.8; reward = -510.0; mean_reward/100_episodes = -514.29; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:23:09
Episode no = 9500; won: False; iter_time_steps = 11; Q(s,a) = -15.991218136746635; score = -510.0; mean_score/100_episodes = -474.28; reward = -510.0; mean_reward/100_episodes = -490.26; and epsilon = 0.1, win percentage = 0.04, 2024-11-20 08:23:45
