Episode no = 9800; won: False; iter_time_steps = 51; Q(s,a) = 179.44356147485237; score = -130.0; mean_score/100_episodes = -165.3; reward = -88.0; mean_reward/100_episodes = -131.9; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:31:15
Episode no = 9900; won: False; iter_time_steps = 21; Q(s,a) = 180.58757542069375; score = -340.0; mean_score/100_episodes = -150.79; reward = -322.0; mean_reward/100_episodes = -120.91; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:31:42
Episode no = 10000; won: False; iter_time_steps = 29; Q(s,a) = 176.21421297873042; score = -298.0; mean_score/100_episodes = -172.37; reward = -275.0; mean_reward/100_episodes = -154.7; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:32:11
Episode no = 10100; won: False; iter_time_steps = 136; Q(s,a) = 173.47789091329966; score = -45.0; mean_score/100_episodes = -169.52; reward = 14.0; mean_reward/100_episodes = -143.39; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:32:35
Episode no = 10200; won: False; iter_time_steps = 77; Q(s,a) = 172.75292174614427; score = -26.0; mean_score/100_episodes = -159.73; reward = 29.0; mean_reward/100_episodes = -151.26; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:33:02
Episode no = 10300; won: False; iter_time_steps = 25; Q(s,a) = 171.03102905409747; score = -284.0; mean_score/100_episodes = -138.66; reward = -260.0; mean_reward/100_episodes = -119.17; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:33:30
Episode no = 10400; won: False; iter_time_steps = 140; Q(s,a) = 171.7710563894403; score = 131.0; mean_score/100_episodes = -174.87; reward = 208.0; mean_reward/100_episodes = -161.02; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:33:54
Episode no = 10500; won: False; iter_time_steps = 27; Q(s,a) = 170.4645810000602; score = -296.0; mean_score/100_episodes = -100.3; reward = -273.0; mean_reward/100_episodes = -100.55; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:34:23
Episode no = 10600; won: False; iter_time_steps = 24; Q(s,a) = 170.4911709452213; score = -293.0; mean_score/100_episodes = -60.34; reward = -270.0; mean_reward/100_episodes = -65.06; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:34:57
Episode no = 10700; won: False; iter_time_steps = 20; Q(s,a) = 170.43653545763573; score = -339.0; mean_score/100_episodes = -88.59; reward = -321.0; mean_reward/100_episodes = -97.21; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:35:28
Episode no = 10800; won: False; iter_time_steps = 142; Q(s,a) = 169.74715738860087; score = 139.0; mean_score/100_episodes = -77.93; reward = 217.0; mean_reward/100_episodes = -80.86; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:36:01
Episode no = 10900; won: False; iter_time_steps = 84; Q(s,a) = 172.0896993961536; score = 147.0; mean_score/100_episodes = -148.15; reward = 231.0; mean_reward/100_episodes = -137.21; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:36:26
Episode no = 11000; won: False; iter_time_steps = 31; Q(s,a) = 171.9960903118951; score = -270.0; mean_score/100_episodes = -130.05; reward = -255.0; mean_reward/100_episodes = -115.28; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:36:57
