Episode no = 5400; won: False; iter_time_steps = 21; Q(s,a) = 62.56740333739071; score = -510.0; mean_score/100_episodes = -511.88; reward = -509.0; mean_reward/100_episodes = -511.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-02 01:52:11
Episode no = 5500; won: False; iter_time_steps = 21; Q(s,a) = 75.18359133351395; score = -510.0; mean_score/100_episodes = -491.09; reward = -509.0; mean_reward/100_episodes = -498.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.02, 2024-12-02 01:52:22
Episode no = 5600; won: False; iter_time_steps = 21; Q(s,a) = 72.89505491861412; score = -510.0; mean_score/100_episodes = -511.34; reward = -509.0; mean_reward/100_episodes = -510.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-02 01:52:32
Episode no = 5700; won: False; iter_time_steps = 21; Q(s,a) = 77.42516874656985; score = -510.0; mean_score/100_episodes = -500.2; reward = -509.0; mean_reward/100_episodes = -502.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.01, 2024-12-02 01:52:42
Episode no = 5800; won: False; iter_time_steps = 21; Q(s,a) = 32.94139342871267; score = -510.0; mean_score/100_episodes = -490.28; reward = -509.0; mean_reward/100_episodes = -497.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.02, 2024-12-02 01:52:53
Episode no = 5900; won: False; iter_time_steps = 15; Q(s,a) = 15.81024219468035; score = -504.0; mean_score/100_episodes = -510.58; reward = -503.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-02 01:53:04
Episode no = 6000; won: False; iter_time_steps = 21; Q(s,a) = 70.08453378464104; score = -510.0; mean_score/100_episodes = -500.74; reward = -509.0; mean_reward/100_episodes = -503.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.01, 2024-12-02 01:53:15
Episode no = 6100; won: False; iter_time_steps = 21; Q(s,a) = 72.04412520679307; score = -510.0; mean_score/100_episodes = -511.08; reward = -509.0; mean_reward/100_episodes = -509.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-02 01:53:27
Episode no = 6200; won: False; iter_time_steps = 21; Q(s,a) = 91.0540267436225; score = -520.0; mean_score/100_episodes = -512.48; reward = -520.0; mean_reward/100_episodes = -511.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-02 01:53:38
Episode no = 6300; won: False; iter_time_steps = 14; Q(s,a) = 56.85902047028576; score = -503.0; mean_score/100_episodes = -512.58; reward = -491.0; mean_reward/100_episodes = -510.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-02 01:53:48
