Episode no = 9200; won: True; iter_time_steps = 33; Q(s,a) = -5.82882468615678; score = 488.0; mean_score/100_episodes = 165.07; reward = 79.0; mean_reward/100_episodes = -108.57; and epsilon = 0.1, win percentage = 0.67, 2024-11-22 09:07:55
Episode no = 9300; won: False; iter_time_steps = 33; Q(s,a) = -4.110073887535107; score = -522.0; mean_score/100_episodes = 53.99; reward = -521.0; mean_reward/100_episodes = -174.47; and epsilon = 0.1, win percentage = 0.56, 2024-11-22 09:08:08
Episode no = 9400; won: False; iter_time_steps = 14; Q(s,a) = -4.280338867016518; score = -513.0; mean_score/100_episodes = 63.45; reward = -513.0; mean_reward/100_episodes = -169.29; and epsilon = 0.1, win percentage = 0.57, 2024-11-22 09:08:24
Episode no = 9500; won: True; iter_time_steps = 33; Q(s,a) = 58.80825613656045; score = 488.0; mean_score/100_episodes = 114.86; reward = 79.0; mean_reward/100_episodes = -138.46; and epsilon = 0.1, win percentage = 0.62, 2024-11-22 09:08:40
Episode no = 9600; won: False; iter_time_steps = 15; Q(s,a) = -6.139818923274289; score = -514.0; mean_score/100_episodes = 24.49; reward = -514.0; mean_reward/100_episodes = -192.13; and epsilon = 0.1, win percentage = 0.53, 2024-11-22 09:08:53
Episode no = 9700; won: False; iter_time_steps = 16; Q(s,a) = -8.368473740480997; score = -515.0; mean_score/100_episodes = 4.15; reward = -515.0; mean_reward/100_episodes = -204.23; and epsilon = 0.1, win percentage = 0.51, 2024-11-22 09:09:07
Episode no = 9800; won: False; iter_time_steps = 14; Q(s,a) = 9.717534045490169; score = -503.0; mean_score/100_episodes = 115.95; reward = -502.0; mean_reward/100_episodes = -137.53; and epsilon = 0.1, win percentage = 0.62, 2024-11-22 09:09:20
Episode no = 9900; won: False; iter_time_steps = 13; Q(s,a) = 14.36793374685755; score = -502.0; mean_score/100_episodes = 105.65; reward = -501.0; mean_reward/100_episodes = -143.7; and epsilon = 0.1, win percentage = 0.61, 2024-11-22 09:09:33
Episode no = 10000; won: True; iter_time_steps = 17; Q(s,a) = 104.28190631406692; score = 504.0; mean_score/100_episodes = 16.0; reward = 95.0; mean_reward/100_episodes = -196.47; and epsilon = 0.1, win percentage = 0.52, 2024-11-22 09:09:45
Episode no = 10100; won: True; iter_time_steps = 28; Q(s,a) = 113.63833525684173; score = 493.0; mean_score/100_episodes = 196.42; reward = 84.0; mean_reward/100_episodes = -89.78; and epsilon = 0.1, win percentage = 0.7, 2024-11-22 09:09:59
Episode no = 10200; won: False; iter_time_steps = 15; Q(s,a) = -4.832692861127828; score = -514.0; mean_score/100_episodes = 14.0; reward = -514.0; mean_reward/100_episodes = -198.54; and epsilon = 0.1, win percentage = 0.52, 2024-11-22 09:10:12
Episode no = 10300; won: False; iter_time_steps = 16; Q(s,a) = -5.233834672319616; score = -515.0; mean_score/100_episodes = 74.29; reward = -515.0; mean_reward/100_episodes = -162.75; and epsilon = 0.1, win percentage = 0.58, 2024-11-22 09:10:26
Episode no = 10400; won: True; iter_time_steps = 14; Q(s,a) = 109.89720186142796; score = 507.0; mean_score/100_episodes = 65.63; reward = 98.0; mean_reward/100_episodes = -167.24; and epsilon = 0.1, win percentage = 0.57, 2024-11-22 09:10:40
Episode no = 10500; won: True; iter_time_steps = 29; Q(s,a) = 130.00295886598425; score = 492.0; mean_score/100_episodes = 166.7; reward = 83.0; mean_reward/100_episodes = -107.04; and epsilon = 0.1, win percentage = 0.67, 2024-11-22 09:10:54
Episode no = 10600; won: False; iter_time_steps = 19; Q(s,a) = 83.35429424338193; score = -508.0; mean_score/100_episodes = 134.28; reward = -507.0; mean_reward/100_episodes = -127.25; and epsilon = 0.1, win percentage = 0.64, 2024-11-22 09:11:09
Episode no = 10700; won: True; iter_time_steps = 18; Q(s,a) = 130.67347704730582; score = 503.0; mean_score/100_episodes = 106.01; reward = 94.0; mean_reward/100_episodes = -143.23; and epsilon = 0.1, win percentage = 0.61, 2024-11-22 09:11:23
Episode no = 10800; won: True; iter_time_steps = 24; Q(s,a) = 120.00554261586734; score = 497.0; mean_score/100_episodes = 154.76; reward = 88.0; mean_reward/100_episodes = -115.01; and epsilon = 0.1, win percentage = 0.66, 2024-11-22 09:11:38
Episode no = 10900; won: False; iter_time_steps = 25; Q(s,a) = 61.07768131725161; score = -514.0; mean_score/100_episodes = 133.01; reward = -513.0; mean_reward/100_episodes = -128.49; and epsilon = 0.1, win percentage = 0.64, 2024-11-22 09:11:55
Episode no = 11000; won: True; iter_time_steps = 15; Q(s,a) = 135.08371749561363; score = 506.0; mean_score/100_episodes = 152.98; reward = 97.0; mean_reward/100_episodes = -116.67; and epsilon = 0.1, win percentage = 0.66, 2024-11-22 09:12:12
Episode no = 11100; won: True; iter_time_steps = 14; Q(s,a) = 142.556228506056; score = 507.0; mean_score/100_episodes = 234.79; reward = 98.0; mean_reward/100_episodes = -67.57; and epsilon = 0.1, win percentage = 0.74, 2024-11-22 09:12:28
