Episode no = 7300; won: False; iter_time_steps = 71; Q(s,a) = 170.17765133560545; score = 40.0; mean_score/100_episodes = -93.06; reward = 101.0; mean_reward/100_episodes = -65.96; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:07:09
Episode no = 7400; won: False; iter_time_steps = 14; Q(s,a) = 171.73767644825162; score = -393.0; mean_score/100_episodes = -79.56; reward = -381.0; mean_reward/100_episodes = -68.58; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:08:41
Episode no = 7500; won: False; iter_time_steps = 53; Q(s,a) = 173.4581335050292; score = -122.0; mean_score/100_episodes = -80.66; reward = -90.0; mean_reward/100_episodes = -58.95; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:10:08
Episode no = 7600; won: False; iter_time_steps = 214; Q(s,a) = 174.24241592549606; score = 217.0; mean_score/100_episodes = -54.57; reward = 310.0; mean_reward/100_episodes = -36.39; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:11:39
Episode no = 7700; won: False; iter_time_steps = 71; Q(s,a) = 175.28045607078485; score = 50.0; mean_score/100_episodes = -42.5; reward = 123.0; mean_reward/100_episodes = -33.91; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:13:09
Episode no = 7800; won: False; iter_time_steps = 13; Q(s,a) = 175.6870721181591; score = -402.0; mean_score/100_episodes = -57.19; reward = -380.0; mean_reward/100_episodes = -40.42; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:14:39
Episode no = 7900; won: False; iter_time_steps = 79; Q(s,a) = 176.37446860242005; score = -18.0; mean_score/100_episodes = -74.86; reward = 38.0; mean_reward/100_episodes = -58.59; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:16:05
Episode no = 8000; won: False; iter_time_steps = 54; Q(s,a) = 177.27319024138987; score = -163.0; mean_score/100_episodes = -109.31; reward = -124.0; mean_reward/100_episodes = -91.78; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:17:19
Episode no = 8100; won: False; iter_time_steps = 18; Q(s,a) = 178.28058152072143; score = -377.0; mean_score/100_episodes = -143.91; reward = -363.0; mean_reward/100_episodes = -132.1; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:18:37
Episode no = 8200; won: False; iter_time_steps = 21; Q(s,a) = 178.45368255434636; score = -320.0; mean_score/100_episodes = -116.84; reward = -300.0; mean_reward/100_episodes = -119.09; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:19:56
Episode no = 8300; won: False; iter_time_steps = 81; Q(s,a) = 179.23190173676898; score = 290.0; mean_score/100_episodes = -61.56; reward = 197.0; mean_reward/100_episodes = -73.95; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:21:19
Episode no = 8400; won: False; iter_time_steps = 17; Q(s,a) = 180.19424501668064; score = -356.0; mean_score/100_episodes = -34.83; reward = -340.0; mean_reward/100_episodes = -38.75; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 07:22:49
Episode no = 8500; won: False; iter_time_steps = 39; Q(s,a) = 179.1291675670986; score = -198.0; mean_score/100_episodes = -116.22; reward = -164.0; mean_reward/100_episodes = -107.4; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:23:56
