Episode no = 6500; won: False; iter_time_steps = 16; Q(s,a) = -17.477987401120938; score = -505.0; mean_score/100_episodes = -509.61; reward = -504.0; mean_reward/100_episodes = -509.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:19:16
Episode no = 6600; won: False; iter_time_steps = 7; Q(s,a) = -17.700156751313525; score = -506.0; mean_score/100_episodes = -509.6; reward = -506.0; mean_reward/100_episodes = -509.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:19:24
Episode no = 6700; won: False; iter_time_steps = 24; Q(s,a) = -17.682291834459498; score = -523.0; mean_score/100_episodes = -510.29; reward = -523.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:19:33
Episode no = 6800; won: False; iter_time_steps = 7; Q(s,a) = -18.07066003629405; score = -506.0; mean_score/100_episodes = -510.72; reward = -506.0; mean_reward/100_episodes = -510.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:19:43
Episode no = 6900; won: False; iter_time_steps = 13; Q(s,a) = -18.11136559191062; score = -512.0; mean_score/100_episodes = -513.11; reward = -512.0; mean_reward/100_episodes = -513.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:19:54
Episode no = 7000; won: False; iter_time_steps = 10; Q(s,a) = -18.352633129897395; score = -509.0; mean_score/100_episodes = -513.32; reward = -509.0; mean_reward/100_episodes = -513.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:20:06
Episode no = 7100; won: False; iter_time_steps = 18; Q(s,a) = -17.402968659476024; score = -517.0; mean_score/100_episodes = -491.5; reward = -517.0; mean_reward/100_episodes = -499.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:20:16
Episode no = 7200; won: False; iter_time_steps = 15; Q(s,a) = -16.800041543209616; score = -504.0; mean_score/100_episodes = -513.79; reward = -492.0; mean_reward/100_episodes = -513.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:20:29
Episode no = 7300; won: False; iter_time_steps = 10; Q(s,a) = -18.375483331227215; score = -509.0; mean_score/100_episodes = -511.55; reward = -509.0; mean_reward/100_episodes = -510.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:20:40
Episode no = 7400; won: False; iter_time_steps = 14; Q(s,a) = -18.227373078268624; score = -513.0; mean_score/100_episodes = -512.45; reward = -513.0; mean_reward/100_episodes = -511.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:20:52
