Episode no = 9000; won: False; iter_time_steps = 85; Q(s,a) = 213.04278438183962; score = 496.0; mean_score/100_episodes = 318.71; reward = 204.0; mean_reward/100_episodes = 150.34; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:26:13
Episode no = 9100; won: False; iter_time_steps = 52; Q(s,a) = 222.36454620692166; score = 39.0; mean_score/100_episodes = 310.04; reward = -71.0; mean_reward/100_episodes = 124.23; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:29:43
Episode no = 9200; won: False; iter_time_steps = 85; Q(s,a) = 231.40263185046996; score = 626.0; mean_score/100_episodes = 344.01; reward = 207.0; mean_reward/100_episodes = 130.68; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:33:15
Episode no = 9300; won: False; iter_time_steps = 85; Q(s,a) = 219.79851628061823; score = 446.0; mean_score/100_episodes = 374.58; reward = 189.0; mean_reward/100_episodes = 119.67; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:36:48
Episode no = 9400; won: False; iter_time_steps = 38; Q(s,a) = 218.79455067875486; score = -17.0; mean_score/100_episodes = 318.67; reward = -145.0; mean_reward/100_episodes = 114.88; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:40:17
Episode no = 9500; won: False; iter_time_steps = 85; Q(s,a) = 218.79914332300794; score = 236.0; mean_score/100_episodes = 376.72; reward = 138.0; mean_reward/100_episodes = 133.34; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:43:47
Episode no = 9600; won: False; iter_time_steps = 85; Q(s,a) = 226.1935453479205; score = 446.0; mean_score/100_episodes = 321.29; reward = 178.0; mean_reward/100_episodes = 108.51; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:47:17
Episode no = 9700; won: False; iter_time_steps = 85; Q(s,a) = 221.25665993018458; score = 606.0; mean_score/100_episodes = 199.29; reward = 145.0; mean_reward/100_episodes = 67.68; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:50:38
Episode no = 9800; won: False; iter_time_steps = 85; Q(s,a) = 232.85495938088403; score = 396.0; mean_score/100_episodes = 279.68; reward = 145.0; mean_reward/100_episodes = 110.87; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:54:06
Episode no = 9900; won: False; iter_time_steps = 85; Q(s,a) = 231.57216109414944; score = 216.0; mean_score/100_episodes = 312.08; reward = 116.0; mean_reward/100_episodes = 120.75; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:57:35
Episode no = 10000; won: False; iter_time_steps = 46; Q(s,a) = 238.8852993154574; score = 225.0; mean_score/100_episodes = 326.9; reward = -47.0; mean_reward/100_episodes = 116.8; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:01:03
Episode no = 10100; won: False; iter_time_steps = 85; Q(s,a) = 227.5821638408868; score = 226.0; mean_score/100_episodes = 334.5; reward = 127.0; mean_reward/100_episodes = 113.44; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:04:24
Episode no = 10200; won: False; iter_time_steps = 85; Q(s,a) = 232.34556789993826; score = 326.0; mean_score/100_episodes = 292.59; reward = 57.0; mean_reward/100_episodes = 111.09; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:07:53
Episode no = 10300; won: False; iter_time_steps = 39; Q(s,a) = 229.78976828737663; score = 2.0; mean_score/100_episodes = 337.43; reward = -113.0; mean_reward/100_episodes = 103.79; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:11:19
Episode no = 10400; won: False; iter_time_steps = 85; Q(s,a) = 220.00101367081274; score = 156.0; mean_score/100_episodes = 338.53; reward = 50.0; mean_reward/100_episodes = 114.41; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:14:52
Episode no = 10500; won: False; iter_time_steps = 85; Q(s,a) = 234.9714316359608; score = 236.0; mean_score/100_episodes = 280.03; reward = 138.0; mean_reward/100_episodes = 104.52; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:18:16
Episode no = 10600; won: False; iter_time_steps = 85; Q(s,a) = 220.16122782716474; score = 226.0; mean_score/100_episodes = 332.38; reward = 127.0; mean_reward/100_episodes = 110.99; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:21:41
Episode no = 10700; won: False; iter_time_steps = 85; Q(s,a) = 224.54556298009368; score = 396.0; mean_score/100_episodes = 271.43; reward = 123.0; mean_reward/100_episodes = 91.72; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:25:06
Episode no = 10800; won: False; iter_time_steps = 85; Q(s,a) = 222.64111595402423; score = 226.0; mean_score/100_episodes = 259.82; reward = 127.0; mean_reward/100_episodes = 90.52; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 19:28:32
